word,series_frequency,english_frequency,vocabulary_level
erm,7,1096123,N/A
ringing,6,2151327,N/A
dying,5,9123557,N/A
arch,5,11462377,C2
flatmate,4,426841,N/A
wearing,4,12401524,N/A
lipstick,4,2327506,N/A
therapist,4,8719311,C1
sergeant,4,3409151,N/A
bust,4,5258179,N/A
psychosomatic,3,232558,N/A
stopped,3,14956865,N/A
drinking,3,18160233,N/A
housekeeper,3,721064,N/A
sitting,3,18868156,N/A
consult,3,12199508,C1
sally,3,5994315,N/A
sake,3,6673422,N/A
psychopath,3,291014,N/A
warned,3,5292851,N/A
texted,3,40079,N/A
cleared,3,6097495,N/A
putting,3,18519708,N/A
cos,3,6554429,N/A
bluff,3,4956500,N/A
mummy,3,2196240,N/A
loved,2,19719299,N/A
investigating,2,4884687,N/A
staying,2,8900981,N/A
flatshare,2,785920,N/A
riding,2,15435415,N/A
alibi,2,448710,N/A
wondering,2,9239585,N/A
cleaned,2,4560058,N/A
needing,2,3515408,N/A
deduction,2,6975948,C1
traumatic,2,2450877,C2
wounded,2,4725318,N/A
supposed,2,14497557,N/A
deodorant,2,1788713,C1
letting,2,9131661,N/A
guessing,2,2131003,N/A
travelled,2,2294125,N/A
intending,2,1074805,N/A
sustain,2,4680946,C2
driven,2,17723706,N/A
checked,2,15762226,N/A
distracting,2,707133,N/A
haunted,2,3357045,N/A
recognised,2,6297911,N/A
blacked,2,197675,N/A
caught,2,17749748,N/A
unnoticed,2,735869,C1
doorbell,2,543116,N/A
vicious,2,2331876,C2
triple,2,13408244,N/A
losing,2,12607223,N/A
sniffer,2,993242,N/A
sociopath,2,137916,N/A
soother,2,143194,N/A
wasting,2,2791022,N/A
aneurism,2,36964,N/A
nerf,2,2952321,N/A
feud,2,847213,N/A
goodnight,2,1078842,N/A
